"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 31 17:53:31 UTC 2022","Mon Oct 31 17:53:32 UTC 2022","947","","Events page","","Events page","should trigger key down event","should trigger key down event",""
"passed","Mon Oct 31 17:53:28 UTC 2022","Mon Oct 31 17:53:29 UTC 2022","791","","Events page","","Events page","should trigger contextMenu event","should trigger contextMenu event",""
"passed","Mon Oct 31 17:53:32 UTC 2022","Mon Oct 31 17:53:32 UTC 2022","947","","Events page","","Events page","should trigger key up event","should trigger key up event",""
"passed","Mon Oct 31 17:54:20 UTC 2022","Mon Oct 31 17:54:21 UTC 2022","1165","","Hover page","","Hover page","should contains working link, which displayed after hover on div","should contains working link, which displayed after hover on div",""
"passed","Mon Oct 31 17:54:18 UTC 2022","Mon Oct 31 17:54:20 UTC 2022","1731","","Hover page","","Hover page","should contains text which visible after hover on paragraph","should contains text which visible after hover on paragraph",""
"passed","Mon Oct 31 17:53:21 UTC 2022","Mon Oct 31 17:53:23 UTC 2022","1692","","Cookies page","","Cookies page","should set cookie","should set cookie",""
"passed","Mon Oct 31 17:53:33 UTC 2022","Mon Oct 31 17:53:36 UTC 2022","3411","","Alerts page","","Alerts page","should open alert with expected text","should open alert with expected text",""
"passed","Mon Oct 31 17:53:32 UTC 2022","Mon Oct 31 17:53:33 UTC 2022","1063","","Fake alerts page","","Fake alerts page","should open modal dialog and close it after clicking on background","should open modal dialog and close it after clicking on background",""
"passed","Mon Oct 31 17:53:33 UTC 2022","Mon Oct 31 17:53:39 UTC 2022","6028","","Basic ajax page","","Basic ajax page","should change dynamically after an ajax call is triggered","should change dynamically after an ajax call is triggered",""
"passed","Mon Oct 31 17:54:29 UTC 2022","Mon Oct 31 17:54:42 UTC 2022","13627","","First dynamic buttons page","","First dynamic buttons page","should contains button which appears and be clickable","should contains button which appears and be clickable",""
"passed","Mon Oct 31 17:54:03 UTC 2022","Mon Oct 31 17:54:04 UTC 2022","1122","","Events page","","Events page","should trigger click event","should trigger click event",""
"passed","Mon Oct 31 17:53:20 UTC 2022","Mon Oct 31 17:53:20 UTC 2022","655","","Alerts page","","Alerts page","should open prompt and correctly handle typed text","should open prompt and correctly handle typed text",""
"passed","Mon Oct 31 17:54:14 UTC 2022","Mon Oct 31 17:54:16 UTC 2022","1905","","Frames page","","Frames page","should contains frame with element with expected id","should contains frame with element with expected id",""
"passed","Mon Oct 31 17:54:27 UTC 2022","Mon Oct 31 17:54:38 UTC 2022","10950","","Progress bars page","","Progress bars page","should change text when all progress bars are stopped","should change text when all progress bars are stopped",""
"passed","Mon Oct 31 17:54:08 UTC 2022","Mon Oct 31 17:54:09 UTC 2022","795","","Events page","","Events page","should trigger key up event","should trigger key up event",""
"passed","Mon Oct 31 17:54:06 UTC 2022","Mon Oct 31 17:54:07 UTC 2022","920","","Events page","","Events page","should trigger focus event","should trigger focus event",""
"passed","Mon Oct 31 17:54:09 UTC 2022","Mon Oct 31 17:54:10 UTC 2022","814","","Events page","","Events page","should trigger key press event","should trigger key press event",""
"passed","Mon Oct 31 17:54:01 UTC 2022","Mon Oct 31 17:54:03 UTC 2022","2396","","Drag and drop page","","Drag and drop page","","",""
"passed","Mon Oct 31 17:53:36 UTC 2022","Mon Oct 31 17:53:37 UTC 2022","1000","","Alerts page","","Alerts page","should open confirm which can correct handle answer","should open confirm which can correct handle answer",""
"passed","Mon Oct 31 17:53:18 UTC 2022","Mon Oct 31 17:53:19 UTC 2022","1198","","Alerts page","","Alerts page","should open alert with expected text","should open alert with expected text",""
"passed","Mon Oct 31 17:54:05 UTC 2022","Mon Oct 31 17:54:06 UTC 2022","790","","Events page","","Events page","should trigger double click event","should trigger double click event",""
"passed","Mon Oct 31 17:53:30 UTC 2022","Mon Oct 31 17:53:31 UTC 2022","800","","Events page","","Events page","should trigger focus event","should trigger focus event",""
"passed","Mon Oct 31 17:53:29 UTC 2022","Mon Oct 31 17:53:30 UTC 2022","990","","Events page","","Events page","should trigger double click event","should trigger double click event",""
"passed","Mon Oct 31 17:53:41 UTC 2022","Mon Oct 31 17:53:42 UTC 2022","1452","","Frames page","","Frames page","should contains with working link which leading to main page","should contains with working link which leading to main page",""
"passed","Mon Oct 31 17:53:30 UTC 2022","Mon Oct 31 17:53:32 UTC 2022","1728","","Fake alerts page","","Fake alerts page","should open fake alert and close it after clicking on button","should open fake alert and close it after clicking on button",""
"passed","Mon Oct 31 17:53:22 UTC 2022","Mon Oct 31 17:53:24 UTC 2022","1552","","CSS Media Size page","","CSS Media Size page","should dynamically change depending on the size of the window","should dynamically change depending on the size of the window",""
